month,total_revenue,total_cogs,gross_profit
2012-07,130406773.51,102516473.87,27890299.64
2012-08,159089240.31,125585306.43,33503933.88
2012-09,129307133.82,102596154.82,26710979.00
2012-10,110185694.45,88054805.03,22130889.42
2012-11,98186295.24,77820077.41,20366217.83
2012-12,114322610.69,90889106.25,23433504.44
2013-01,91308677.03,73023804.08,18284872.95
2013-02,109783137.94,90286876.59,19496261.35
2013-03,151834657.27,129897782.43,21936874.84
2013-04,198926932.09,165581961.30,33344970.79
2013-05,200500109.48,159759153.80,40740955.68
2013-06,198517628.54,166302561.72,32215066.82
2013-07,165745353.99,153044613.89,12700740.10
2013-08,116271755.96,151947691.00,-35675935.04
2013-09,127534147.97,116161339.82,11372808.15
2013-10,115089836.74,92685814.37,22404022.37
2013-11,90371311.82,77118230.78,13253081.04
2013-12,91285868.44,90170273.42,1115595.02
2014-01,91803714.88,74816926.31,16986788.57
2014-02,108440957.11,86263947.18,22177009.93
2014-03,183513882.05,157170624.53,26343257.52
2014-04,232565641.30,196882524.31,35683116.99
2014-05,244309542.32,195193908.08,49115634.24
2014-06,208133786.22,174108109.13,34025677.09
2014-07,169157947.67,151250060.07,17907887.60
2014-08,195265819.65,154959558.56,40306261.09
2014-09,120621539.01,105172122.88,15449416.13
2014-10,120982777.87,96281852.59,24700925.28
2014-11,93293576.78,80687079.89,12606496.89
2014-12,103756697.94,101820743.36,1935954.58
2015-01,89880637.05,71927743.21,17952893.84
2015-02,120682457.24,99070410.55,21612046.69
2015-03,170940315.07,144970479.45,25969835.62
2015-04,259694424.86,217663174.10,42031250.76
2015-05,240384686.21,191140066.41,49244619.80
2015-06,215836391.57,178200470.10,37635921.47
2015-07,170237048.48,154758898.26,15478150.22
2015-08,119854986.63,158626609.11,-38771622.48
2015-09,155030676.77,140254191.45,14776485.32
2015-10,139230979.44,112447694.42,26783285.02
2015-11,102311827.16,90799049.03,11512778.13
2015-12,105849396.44,105583031.33,266365.11
2016-01,117204715.58,96161964.80,21042750.78
2016-02,129695121.30,104786283.28,24908838.02
2016-03,179145849.45,154174296.64,24971552.81
2016-04,267113765.97,227251348.00,39862417.97
2016-05,268131883.62,215249305.20,52882578.42
2016-06,253939381.11,213285444.23,40653936.88
2016-07,179166664.93,160494525.75,18672139.18
2016-08,227008491.86,181909730.90,45098760.96
