product_name,category,avg_rating,review_count,rank_in_category,overall_rank
DragonWear MA-40,Casual,5.0,2,1,1
DragonWear MA-10,Casual,5.0,3,1,1
VietMode MA-21,Casual,5.0,1,1,1
DragonWear MA-12,Casual,5.0,1,1,1
VietMode MA-24,Casual,5.0,1,1,1
VietMode MP-17,Casual,5.0,1,1,1
SaigonCore MA-04,Casual,5.0,1,1,1
DragonWear MA-23,Casual,4.75,4,8,3
VietMode MA-07,Casual,4.75,4,8,3
MekongFit MA-02,Casual,4.64,22,10,6
VietMode MA-25,Casual,4.6,5,11,7
VietMode MP-27,Casual,4.5,12,12,12
PhoenixWear MA-05,Casual,4.5,2,12,12
SaigonCore MA-05,Casual,4.5,2,12,12
VietMode MP-31,Casual,4.4,5,15,16
VietMode MP-13,Casual,4.4,15,15,16
HanoiStreet MA-18,Casual,4.39,23,17,17
DragonWear MA-13,Casual,4.33,6,18,22
VietMode MA-22,Casual,4.18,28,19,47
DragonWear MA-03,Casual,4.15,99,20,56
VietMode MP-28,Casual,4.14,14,21,62
DragonWear MA-08,Casual,4.13,72,22,72
MekongFit MA-04,Casual,4.13,8,22,72
VietMotion MA-03,Casual,4.12,68,24,76
HanoiStreet MA-06,Casual,4.08,96,25,91
PhoenixWear MA-02,Casual,4.06,16,26,109
UrbanVN MA-17,Casual,4.03,147,27,149
MekongFit MA-03,Casual,4.02,46,28,156
MekongFit MA-05,Casual,4.0,22,29,184
VietMode MA-13,Casual,4.0,5,29,184
HanoiStreet MA-09,Casual,4.0,241,29,184
DragonWear MA-28,Casual,4.0,1,29,184
PhoenixWear MA-03,Casual,4.0,7,29,184
VietMode MP-18,Casual,4.0,2,29,184
HanoiStreet MA-13,Casual,4.0,17,29,184
VietMode MP-04,Casual,4.0,2,29,184
VietMode MA-35,Casual,4.0,7,29,184
DragonWear MA-45,Casual,4.0,1,29,184
DragonWear MA-19,Casual,4.0,1,29,184
DragonWear MA-15,Casual,4.0,4,29,184
VietMode MP-15,Casual,4.0,1,29,184
MekongFit MA-07,Casual,4.0,92,29,184
VietMode MP-14,Casual,4.0,7,29,184
SaigonCore MA-03,Casual,4.0,3,29,184
VietMode MP-16,Casual,4.0,1,29,184
PhoenixWear MA-01,Casual,4.0,1,29,184
VietMode MA-09,Casual,4.0,4,29,184
DragonWear MA-14,Casual,4.0,3,29,184
VietMode MA-33,Casual,4.0,5,29,184
VietMode MP-21,Casual,3.97,31,50,230
