age_group,acquisition_channel,avg_rfm_score,customer_count
18-24,direct,5.19,545
45-54,referral,5.07,920
35-44,referral,5.07,1246
35-44,email_campaign,5.07,1567
55+,organic_search,5.05,1637
55+,social_media,5.05,1108
45-54,direct,5.04,757
25-34,social_media,5.03,2848
55+,paid_search,5.03,1088
55+,email_campaign,5.03,639
55+,direct,5.03,447
25-34,organic_search,5.02,4319
45-54,organic_search,5.02,2807
55+,referral,5.02,546
25-34,paid_search,5.01,2876
35-44,social_media,5.01,2590
18-24,paid_search,5.01,1393
18-24,social_media,5.01,1402
18-24,referral,5.01,666
25-34,email_campaign,5.01,1712
35-44,direct,5.0,1033
45-54,social_media,4.99,1841
18-24,email_campaign,4.99,802
18-24,organic_search,4.98,1974
25-34,referral,4.95,1440
35-44,paid_search,4.95,2552
45-54,email_campaign,4.94,1110
35-44,organic_search,4.94,3773
45-54,paid_search,4.92,1848
25-34,direct,4.86,1190
