month,traffic_source,sessions,region,revenue,revenue_per_session
2013-01,referral,28134,East,8309089609.73,295339.79
2013-01,social_media,28776,East,8309089609.73,288750.68
2013-01,direct,37852,East,8309089609.73,219515.21
2013-01,referral,28134,Central,5204594590.71,184993.05
2013-01,social_media,28776,Central,5204594590.71,180865.81
2013-01,email_campaign,49649,East,8309089609.73,167356.64
2013-01,direct,37852,Central,5204594590.71,137498.54
2013-01,paid_search,72457,East,8309089609.73,114676.15
2013-01,organic_search,78138,East,8309089609.73,106338.65
2013-01,email_campaign,49649,Central,5204594590.71,104827.78
2013-01,referral,28134,West,2647951633.87,94119.27
2013-01,social_media,28776,West,2647951633.87,92019.45
2013-01,paid_search,72457,Central,5204594590.71,71830.11
2013-01,direct,37852,West,2647951633.87,69955.4
2013-01,organic_search,78138,Central,5204594590.71,66607.73
2013-01,email_campaign,49649,West,2647951633.87,53333.43
2013-01,paid_search,72457,West,2647951633.87,36545.15
2013-01,organic_search,78138,West,2647951633.87,33888.14
2013-02,referral,14103,East,9551133000.78,677241.23
2013-02,referral,14103,Central,6257638862.58,443709.77
2013-02,email_campaign,30311,East,9551133000.78,315104.52
2013-02,direct,31268,East,9551133000.78,305460.31
2013-02,referral,14103,West,3403277276.14,241315.84
2013-02,email_campaign,30311,Central,6257638862.58,206447.79
2013-02,direct,31268,Central,6257638862.58,200129.17
2013-02,email_campaign,30311,West,3403277276.14,112278.62
2013-02,direct,31268,West,3403277276.14,108842.18
2013-02,social_media,102132,East,9551133000.78,93517.54
2013-02,paid_search,104891,East,9551133000.78,91057.7
2013-02,organic_search,134191,East,9551133000.78,71175.66
2013-02,social_media,102132,Central,6257638862.58,61270.11
2013-02,paid_search,104891,Central,6257638862.58,59658.49
2013-02,organic_search,134191,Central,6257638862.58,46632.33
2013-02,social_media,102132,West,3403277276.14,33322.34
2013-02,paid_search,104891,West,3403277276.14,32445.85
2013-02,organic_search,134191,West,3403277276.14,25361.44
2013-03,direct,39111,Central,14120623126.11,361039.69
2013-03,direct,39111,East,13968788468.84,357157.54
2013-03,referral,77245,Central,14120623126.11,182803.07
2013-03,referral,77245,East,13968788468.84,180837.45
2013-03,direct,39111,West,4403205060.83,112582.27
2013-03,social_media,127676,Central,14120623126.11,110597.32
2013-03,social_media,127676,East,13968788468.84,109408.1
2013-03,organic_search,184113,Central,14120623126.11,76695.42
2013-03,organic_search,184113,East,13968788468.84,75870.73
2013-03,paid_search,194029,Central,14120623126.11,72775.84
2013-03,paid_search,194029,East,13968788468.84,71993.3
2013-03,referral,77245,West,4403205060.83,57003.11
2013-03,social_media,127676,West,4403205060.83,34487.34
2013-03,organic_search,184113,West,4403205060.83,23915.77
