year,month,category,segment,total_stock,total_sold,avg_days_of_supply,avg_fill_rate_pct,avg_sell_through_pct,stockout_rate_pct,overstock_rate_pct,inventory_turnover_pct,need_reorder_products,fill_rate_rank,inventory_health
2012,7,GenZ,Trendy,1314,416,94.7,95.78,24.06,80.00,86.67,23.16,0,8,Critical Stockout
2012,7,Streetwear,Performance,2928,922,93.0,96.32,24.42,75.44,54.39,22.98,0,6,Critical Stockout
2012,7,Casual,All-weather,497,158,92.9,96.04,24.43,75.00,56.25,23.30,0,7,Critical Stockout
2012,7,Streetwear,Everyday,7675,2401,94.5,96.43,24.11,71.76,78.82,22.76,0,5,Critical Stockout
2012,7,Streetwear,Balanced,2589,816,92.4,96.52,24.53,64.44,44.44,23.01,0,4,Critical Stockout
2012,7,Streetwear,Standard,498,161,91.3,97.29,24.73,62.50,28.13,23.89,0,1,Critical Stockout
2012,7,Outdoor,Activewear,7764,2438,93.3,96.87,24.35,60.77,57.69,22.89,0,2,Critical Stockout
2012,7,Outdoor,Premium,433,139,92.8,96.67,24.44,53.33,73.33,23.64,0,3,Critical Stockout
2012,8,Streetwear,Standard,514,202,131.5,95.68,31.39,81.48,33.33,27.26,0,5,Critical Stockout
2012,8,Streetwear,Balanced,2941,1076,119.3,88.27,31.4,81.48,29.63,25.50,0,8,Critical Stockout
2012,8,Streetwear,Everyday,8536,2836,89.2,93.65,29.43,74.74,45.26,23.87,0,6,Critical Stockout
2012,8,Outdoor,Premium,585,367,71.1,91.05,34.1,73.68,26.32,35.87,0,7,Critical Stockout
2012,8,GenZ,Trendy,1463,490,109.8,96.83,23.41,70.00,45.00,23.96,0,3,Critical Stockout
2012,8,Outdoor,Activewear,8530,3660,91.1,95.96,28.62,68.94,25.76,28.42,0,4,Critical Stockout
2012,8,Streetwear,Performance,3146,1167,105.6,97.18,25.94,59.32,37.29,25.89,0,2,Critical Stockout
2012,8,Casual,All-weather,534,185,104.7,97.45,26.72,52.94,35.29,24.57,0,1,Critical Stockout
2012,9,GenZ,Trendy,1506,293,198.5,95.61,16.75,84.21,84.21,15.88,0,4,Critical Stockout
2012,9,Outdoor,Premium,692,451,81.4,89.37,34.85,76.19,28.57,36.70,0,8,Critical Stockout
2012,9,Streetwear,Balanced,3077,894,153.4,92.28,27.48,66.67,50.00,21.72,0,7,Critical Stockout
2012,9,Streetwear,Everyday,8885,1838,170.9,94.83,22.92,65.63,70.83,16.61,0,6,Critical Stockout
2012,9,Casual,All-weather,561,133,143.3,96.67,21.35,64.71,64.71,18.60,0,3,Critical Stockout
2012,9,Outdoor,Activewear,9159,2920,124.6,95.61,25.65,61.27,47.89,23.20,0,4,Critical Stockout
2012,9,Streetwear,Standard,493,123,122.6,97.07,22.98,60.00,52.00,19.77,0,1,Critical Stockout
2012,9,Streetwear,Performance,3146,651,160.9,97.07,20.32,60.00,70.00,16.72,0,1,Critical Stockout
2012,10,Streetwear,Standard,539,157,150.8,93.57,23.78,82.14,50.00,21.87,0,6,Critical Stockout
2012,10,Streetwear,Performance,3315,460,255.2,95.94,16.49,71.67,76.67,11.93,0,4,Critical Stockout
2012,10,Streetwear,Balanced,3133,819,148.0,92.86,25.01,65.31,59.18,20.03,0,7,Critical Stockout
