cohort_year,year_since_signup,active_customers,total_customers,retention_rate_pct
2012,0,29,379,7.65
2012,1,78,379,20.58
2012,2,99,379,26.12
2012,3,112,379,29.55
2012,4,92,379,24.27
2012,5,85,379,22.43
2012,6,81,379,21.37
2012,7,45,379,11.87
2012,8,39,379,10.29
2012,9,47,379,12.40
2012,10,35,379,9.23
2013,0,288,1231,23.40
2013,1,284,1231,23.07
2013,2,314,1231,25.51
2013,3,315,1231,25.59
2013,4,292,1231,23.72
2013,5,248,1231,20.15
2013,6,162,1231,13.16
2013,7,120,1231,9.75
2013,8,155,1231,12.59
2013,9,129,1231,10.48
2014,0,492,1987,24.76
2014,1,481,1987,24.21
2014,2,477,1987,24.01
2014,3,465,1987,23.40
2014,4,474,1987,23.86
2014,5,263,1987,13.24
2014,6,230,1987,11.58
2014,7,227,1987,11.42
2014,8,212,1987,10.67
2015,0,652,2821,23.11
2015,1,712,2821,25.24
2015,2,675,2821,23.93
2015,3,635,2821,22.51
2015,4,375,2821,13.29
2015,5,324,2821,11.49
2015,6,323,2821,11.45
2015,7,308,2821,10.92
2016,0,883,3614,24.43
2016,1,869,3614,24.05
2016,2,778,3614,21.53
2016,3,464,3614,12.84
2016,4,424,3614,11.73
2016,5,372,3614,10.29
2016,6,383,3614,10.60
2017,0,1001,4452,22.48
2017,1,952,4452,21.38
2017,2,556,4452,12.49
2017,3,580,4452,13.03
2017,4,492,4452,11.05
