Date,revenue,ma30_revenue,ma7_profit,deviation_from_ma30,anomaly_flag
2012-07-05,2751773.45,3937660.7,870874.99,-1185887.25,Normal
2012-07-06,3054029.42,3643116.94,759382.18,-589087.52,Normal
2012-07-07,2667930.94,3399320.44,709457.72,-731389.5,Normal
2012-07-08,2360851.9,3191626.73,678012.0,-830774.83,Normal
2012-07-09,3548386.46,3251086.69,691767.46,297299.77,Normal
2012-07-10,5234938.62,3534494.1,763014.93,1700444.52,Normal
2012-07-11,5582884.78,3790542.94,777874.21,1792341.84,Normal
2012-07-12,5734632.02,4006552.84,874249.58,1728079.18,Normal
2012-07-13,5309511.71,4136848.72,964208.48,1172662.99,Normal
2012-07-14,3820831.41,4108119.88,990734.51,-287288.47,Normal
2012-07-15,3948841.28,4094846.66,1025324.53,-146005.38,Normal
2012-07-16,3503801.49,4049381.65,1030329.83,-545580.16,Normal
2012-07-17,4476729.49,4079906.49,1005068.13,396823.0,Normal
2012-07-18,5184141.46,4153522.16,986147.78,1030619.3,Normal
2012-07-19,6421487.11,4295269.97,1005918.56,2126217.14,Normal
2012-07-20,5171470.46,4346811.17,976114.55,824659.29,Normal
2012-07-21,3442157.02,4296552.61,969073.84,-854395.59,Normal
2012-07-22,3117550.57,4234499.87,939293.12,-1116949.3,Normal
2012-07-23,4730517.69,4259300.76,974997.28,471216.93,Normal
2012-07-24,4096496.12,4251548.16,951336.94,-155052.04,Normal
2012-07-25,5246688.08,4296781.79,950556.86,949906.29,Normal
2012-07-26,5851965.06,4364398.46,930353.59,1487566.6,Normal
2012-07-27,5156699.45,4397411.0,960327.36,759288.45,Normal
2012-07-28,4326956.84,4394592.83,992786.32,-67635.99,Normal
2012-07-29,4804199.65,4410346.94,1049737.68,393852.71,Normal
2012-07-30,6586130.95,4490931.53,1099096.3,2095199.42,Normal
2012-07-31,9151622.14,4657384.77,1264908.52,4494237.37,Spike
2012-08-01,9148357.3,4812245.89,1369647.7,4336111.41,Spike
2012-08-02,9692427.0,4974918.59,1495666.63,4717508.41,Spike
2012-08-03,9297269.95,5114042.66,1640118.66,4183227.29,Spike
2012-08-04,6384195.03,5235123.38,1693457.62,1149071.65,Normal
2012-08-05,2359224.19,5211963.21,1623637.24,-2852739.02,Normal
2012-08-06,3630003.7,5244032.3,1525960.61,-1614028.6,Normal
2012-08-07,2240253.44,5240012.35,1304568.7,-2999758.91,Normal
2012-08-08,2617553.36,5208984.58,1130383.55,-2591431.22,Normal
2012-08-09,4478691.52,5183776.34,944968.26,-705084.82,Normal
2012-08-10,3412496.65,5111430.07,735647.63,-1698933.42,Normal
2012-08-11,2732604.35,5011362.48,630971.83,-2278758.13,Normal
2012-08-12,3388181.83,4947318.15,664985.47,-1559136.32,Normal
2012-08-13,3928170.01,4950896.11,669459.77,-1022726.1,Normal
2012-08-14,4033912.16,4953731.8,714706.34,-919819.64,Normal
2012-08-15,3780293.26,4962948.19,753681.01,-1182654.93,Normal
2012-08-16,5249978.18,4988723.15,778038.64,261255.03,Normal
2012-08-17,4089284.05,4952227.9,797632.65,-862943.85,Normal
2012-08-18,3450015.71,4853178.86,808655.86,-1403163.15,Normal
2012-08-19,3904300.93,4810939.87,832026.28,-906638.94,Normal
2012-08-20,3541027.32,4814235.55,828509.63,-1273208.23,Normal
2012-08-21,4147483.23,4848566.64,829567.49,-701083.41,Normal
2012-08-22,4597682.81,4844138.81,849831.03,-246456.0,Normal
2012-08-23,5478869.55,4890217.92,886346.65,588651.63,Normal
