month,traffic_source,region,sessions,unique_visitors,unique_buyers,total_orders,revenue,visitor_to_buyer_pct,revenue_per_session,avg_order_value,avg_bounce_pct,avg_rating
2013-01,referral,Central,28134,21470,277,282,91308677.03,1.29,3245.49,323789.63,0.51,3.98
2013-01,referral,East,28134,21470,567,581,91308677.03,2.64,3245.49,157157.79,0.51,3.94
2013-01,referral,West,28134,21470,345,356,91308677.03,1.61,3245.49,256485.05,0.51,3.89
2013-01,social_media,Central,28776,21863,277,282,91308677.03,1.27,3173.08,323789.63,0.43,3.98
2013-01,social_media,East,28776,21863,567,581,91308677.03,2.59,3173.08,157157.79,0.43,3.94
2013-01,social_media,West,28776,21863,345,356,91308677.03,1.58,3173.08,256485.05,0.43,3.89
2013-01,direct,Central,37852,29336,277,282,91308677.03,0.94,2412.26,323789.63,0.46,3.98
2013-01,direct,East,37852,29336,567,581,91308677.03,1.93,2412.26,157157.79,0.46,3.94
2013-01,direct,West,37852,29336,345,356,91308677.03,1.18,2412.26,256485.05,0.46,3.89
2013-01,email_campaign,Central,49649,38116,277,282,91308677.03,0.73,1839.08,323789.63,0.45,3.98
2013-01,email_campaign,East,49649,38116,567,581,91308677.03,1.49,1839.08,157157.79,0.45,3.94
2013-01,email_campaign,West,49649,38116,345,356,91308677.03,0.91,1839.08,256485.05,0.45,3.89
2013-01,paid_search,Central,72457,55222,277,282,91308677.03,0.50,1260.18,323789.63,0.4,3.98
2013-01,paid_search,East,72457,55222,567,581,91308677.03,1.03,1260.18,157157.79,0.4,3.94
2013-01,paid_search,West,72457,55222,345,356,91308677.03,0.62,1260.18,256485.05,0.4,3.89
2013-01,organic_search,Central,78138,58920,277,282,91308677.03,0.47,1168.56,323789.63,0.49,3.98
2013-01,organic_search,East,78138,58920,567,581,91308677.03,0.96,1168.56,157157.79,0.49,3.94
2013-01,organic_search,West,78138,58920,345,356,91308677.03,0.59,1168.56,256485.05,0.49,3.89
2013-02,referral,West,14103,10525,234,239,109783137.94,2.22,7784.38,459343.67,0.37,3.88
2013-02,referral,East,14103,10525,243,250,109783137.94,2.31,7784.38,439132.55,0.37,3.93
2013-02,referral,Central,14103,10525,195,196,109783137.94,1.85,7784.38,560118.05,0.37,3.94
2013-02,email_campaign,West,30311,23807,234,239,109783137.94,0.98,3621.89,459343.67,0.42,3.88
2013-02,email_campaign,East,30311,23807,243,250,109783137.94,1.02,3621.89,439132.55,0.42,3.93
2013-02,email_campaign,Central,30311,23807,195,196,109783137.94,0.82,3621.89,560118.05,0.42,3.94
2013-02,direct,West,31268,24148,234,239,109783137.94,0.97,3511.04,459343.67,0.4,3.88
2013-02,direct,East,31268,24148,243,250,109783137.94,1.01,3511.04,439132.55,0.4,3.93
2013-02,direct,Central,31268,24148,195,196,109783137.94,0.81,3511.04,560118.05,0.4,3.94
2013-02,social_media,West,102132,76421,234,239,109783137.94,0.31,1074.91,459343.67,0.45,3.88
2013-02,social_media,East,102132,76421,243,250,109783137.94,0.32,1074.91,439132.55,0.45,3.93
2013-02,social_media,Central,102132,76421,195,196,109783137.94,0.26,1074.91,560118.05,0.45,3.94
2013-02,paid_search,West,104891,78914,234,239,109783137.94,0.30,1046.64,459343.67,0.47,3.88
2013-02,paid_search,East,104891,78914,243,250,109783137.94,0.31,1046.64,439132.55,0.47,3.93
2013-02,paid_search,Central,104891,78914,195,196,109783137.94,0.25,1046.64,560118.05,0.47,3.94
2013-02,organic_search,West,134191,102874,234,239,109783137.94,0.23,818.11,459343.67,0.47,3.88
2013-02,organic_search,East,134191,102874,243,250,109783137.94,0.24,818.11,439132.55,0.47,3.93
2013-02,organic_search,Central,134191,102874,195,196,109783137.94,0.19,818.11,560118.05,0.47,3.94
2013-03,direct,West,39111,29653,274,290,151834657.27,0.92,3882.15,523567.78,0.47,3.87
2013-03,direct,Central,39111,29653,219,220,151834657.27,0.74,3882.15,690157.53,0.47,3.95
2013-03,direct,East,39111,29653,336,343,151834657.27,1.13,3882.15,442666.64,0.47,3.95
2013-03,referral,Central,77245,60023,219,220,151834657.27,0.36,1965.62,690157.53,0.41,3.95
2013-03,referral,West,77245,60023,274,290,151834657.27,0.46,1965.62,523567.78,0.41,3.87
2013-03,referral,East,77245,60023,336,343,151834657.27,0.56,1965.62,442666.64,0.41,3.95
2013-03,social_media,West,127676,96919,274,290,151834657.27,0.28,1189.22,523567.78,0.49,3.87
2013-03,social_media,Central,127676,96919,219,220,151834657.27,0.23,1189.22,690157.53,0.49,3.95
2013-03,social_media,East,127676,96919,336,343,151834657.27,0.35,1189.22,442666.64,0.49,3.95
2013-03,organic_search,West,184113,141901,274,290,151834657.27,0.19,824.68,523567.78,0.44,3.87
2013-03,organic_search,Central,184113,141901,219,220,151834657.27,0.15,824.68,690157.53,0.44,3.95
2013-03,organic_search,East,184113,141901,336,343,151834657.27,0.24,824.68,442666.64,0.44,3.95
2013-03,paid_search,Central,194029,148806,219,220,151834657.27,0.15,782.54,690157.53,0.45,3.95
2013-03,paid_search,West,194029,148806,274,290,151834657.27,0.18,782.54,523567.78,0.45,3.87
