promo_id,promo_name,promo_type,promo_channel,discount_pct,stackable_flag,promo_duration_days,promo_revenue,promo_gross_profit,avg_daily_revenue,baseline_daily_revenue,daily_revenue_lift,lift_pct,rank_in_promo_type
PROMO-0021,Spring Sale 2017,percentage,all_channels,12.0,0,31,228039093.51,22592562.4,7356099.79,4286584.03,3069515.76,71.61,1
PROMO-0011,Spring Sale 2015,percentage,all_channels,12.0,1,31,226453828.44,25734142.92,7304962.21,4286584.03,3018378.18,70.41,2
PROMO-0017,Spring Sale 2016,percentage,all_channels,12.0,0,31,222425206.79,21886187.57,7175006.67,4286584.03,2888422.64,67.38,3
PROMO-0007,Spring Sale 2014,percentage,email,12.0,1,31,213812007.36,21473680.39,6897161.53,4286584.03,2610577.5,60.9,4
PROMO-0028,Mid-Year Sale 2018,percentage,social_media,18.0,0,30,193586344.13,10250019.24,6452878.14,4286584.03,2166294.11,50.54,5
PROMO-0027,Spring Sale 2018,percentage,all_channels,12.0,0,31,199022450.79,23376620.84,6420079.06,4286584.03,2133495.03,49.77,6
PROMO-0022,Mid-Year Sale 2017,percentage,online,18.0,0,30,191784563.38,9193083.44,6392818.78,4286584.03,2106234.75,49.14,7
PROMO-0001,Spring Sale 2013,percentage,email,12.0,1,31,187752126.21,21613622.86,6056520.2,4286584.03,1769936.17,41.29,8
PROMO-0018,Mid-Year Sale 2016,percentage,online,18.0,0,30,179961794.43,9576850.13,5998726.48,4286584.03,1712142.45,39.94,9
PROMO-0012,Mid-Year Sale 2015,percentage,social_media,18.0,0,30,171046604.15,11764527.63,5701553.47,4286584.03,1414969.44,33.01,10
PROMO-0008,Mid-Year Sale 2014,percentage,social_media,18.0,0,30,166972882.01,9820163.66,5565762.73,4286584.03,1279178.7,29.84,11
PROMO-0002,Mid-Year Sale 2013,percentage,online,18.0,0,30,161935697.43,7919345.76,5397856.58,4286584.03,1111272.55,25.92,12
PROMO-0019,Fall Launch 2016,percentage,online,10.0,0,33,175866787.29,21979810.04,5329296.58,4286584.03,1042712.55,24.33,13
PROMO-0013,Fall Launch 2015,percentage,email,10.0,1,33,175557337.46,11392579.05,5319919.32,4286584.03,1033335.29,24.11,14
PROMO-0047,Spring Sale 2022,percentage,all_channels,12.0,1,31,151583195.85,11202850.05,4889780.51,4286584.03,603196.48,14.07,15
PROMO-0023,Fall Launch 2017,percentage,all_channels,10.0,1,34,156736001.67,7690777.11,4609882.4,4286584.03,323298.37,7.54,16
PROMO-0037,Spring Sale 2020,percentage,online,12.0,0,31,142600703.01,16324105.16,4600022.68,4286584.03,313438.65,7.31,17
PROMO-0031,Spring Sale 2019,percentage,online,12.0,1,31,141198431.02,15223042.5,4554788.1,4286584.03,268204.07,6.26,18
PROMO-0009,Fall Launch 2014,percentage,all_channels,10.0,0,33,148278195.62,21235028.96,4493278.66,4286584.03,206694.63,4.82,19
PROMO-0003,Fall Launch 2013,percentage,email,10.0,0,34,150626490.06,9649243.28,4430190.88,4286584.03,143606.85,3.35,20
PROMO-0041,Spring Sale 2021,percentage,online,12.0,1,31,137333586.46,13330990.25,4430115.69,4286584.03,143531.66,3.35,21
PROMO-0029,Fall Launch 2018,percentage,email,10.0,0,33,143300083.38,19446391.31,4342426.77,4286584.03,55842.74,1.3,22
PROMO-0016,Rural Special 2015,percentage,in_store,15.0,0,31,133827283.67,24269675.23,4317009.15,4286584.03,30425.12,0.71,23
PROMO-0025,Urban Blowout 2017,fixed,online,50.0,0,35,147780191.6,-45473459.24,4222291.19,4286584.03,-64292.84,-1.5,1
PROMO-0015,Urban Blowout 2015,fixed,online,50.0,0,35,147340187.11,-39333489.66,4209719.63,4286584.03,-76864.4,-1.79,2
PROMO-0005,Urban Blowout 2013,fixed,online,50.0,0,35,145493363.66,-37303371.14,4156953.25,4286584.03,-129630.78,-3.02,3
PROMO-0026,Rural Special 2017,percentage,in_store,15.0,0,31,125556723.58,22283866.87,4050216.89,4286584.03,-236367.14,-5.51,24
PROMO-0006,Rural Special 2013,percentage,in_store,15.0,0,30,115855718.61,20580113.15,3861857.29,4286584.03,-424726.74,-9.91,25
PROMO-0032,Mid-Year Sale 2019,percentage,social_media,18.0,0,30,105821003.02,5510909.72,3527366.77,4286584.03,-759217.26,-17.71,26
PROMO-0014,Year-End Sale 2015,percentage,all_channels,20.0,1,46,158237168.41,1782608.7,3439938.44,4286584.03,-846645.59,-19.75,27
PROMO-0048,Mid-Year Sale 2022,percentage,online,18.0,0,30,101347454.49,1568466.96,3378248.48,4286584.03,-908335.55,-21.19,28
PROMO-0020,Year-End Sale 2016,percentage,all_channels,20.0,0,46,154822007.47,2787645.49,3365695.81,4286584.03,-920888.22,-21.48,29
PROMO-0042,Mid-Year Sale 2021,percentage,social_media,18.0,1,30,99035494.84,4500170.79,3301183.16,4286584.03,-985400.87,-22.99,30
PROMO-0010,Year-End Sale 2014,percentage,all_channels,20.0,0,45,146933653.36,3333614.87,3265192.3,4286584.03,-1021391.73,-23.83,31
PROMO-0038,Mid-Year Sale 2020,percentage,social_media,18.0,0,30,93189098.3,5255542.4,3106303.28,4286584.03,-1180280.75,-27.53,32
PROMO-0036,Rural Special 2019,percentage,in_store,15.0,1,31,94806315.96,17825622.96,3058268.26,4286584.03,-1228315.77,-28.65,33
PROMO-0049,Fall Launch 2022,percentage,all_channels,10.0,0,32,94861590.96,8830571.5,2964424.72,4286584.03,-1322159.31,-30.84,34
PROMO-0004,Year-End Sale 2013,percentage,all_channels,20.0,0,46,135875647.41,3083144.88,2953818.42,4286584.03,-1332765.61,-31.09,35
PROMO-0033,Fall Launch 2019,percentage,email,10.0,0,33,96967030.61,5922472.73,2938394.87,4286584.03,-1348189.16,-31.45,36
PROMO-0039,Fall Launch 2020,percentage,all_channels,10.0,0,33,96851006.94,11941834.4,2934879.0,4286584.03,-1351705.03,-31.53,37
PROMO-0024,Year-End Sale 2017,percentage,all_channels,20.0,0,46,132747705.4,3003830.4,2885819.68,4286584.03,-1400764.35,-32.68,38
PROMO-0035,Urban Blowout 2019,fixed,online,50.0,0,35,96381392.7,-29402597.49,2753754.08,4286584.03,-1532829.95,-35.76,4
PROMO-0043,Fall Launch 2021,percentage,email,10.0,0,34,87829418.36,1615869.69,2583218.19,4286584.03,-1703365.84,-39.74,39
PROMO-0045,Urban Blowout 2021,fixed,online,50.0,0,35,87581705.41,-29143888.67,2502334.44,4286584.03,-1784249.59,-41.62,5
PROMO-0046,Rural Special 2021,percentage,in_store,15.0,0,31,71794680.65,13569381.66,2315957.44,4286584.03,-1970626.59,-45.97,40
PROMO-0030,Year-End Sale 2018,percentage,all_channels,20.0,0,46,93074472.83,3491319.78,2023358.1,4286584.03,-2263225.93,-52.8,41
PROMO-0050,Year-End Sale 2022,percentage,all_channels,20.0,0,44,75554080.2,-985721.28,1717138.19,4286584.03,-2569445.84,-59.94,42
PROMO-0044,Year-End Sale 2021,percentage,all_channels,20.0,1,46,76578200.91,-1127183.5,1664743.5,4286584.03,-2621840.53,-61.16,43
PROMO-0034,Year-End Sale 2019,percentage,all_channels,20.0,0,46,72363735.84,1350478.31,1573124.69,4286584.03,-2713459.34,-63.3,44
PROMO-0040,Year-End Sale 2020,percentage,all_channels,20.0,0,45,64513088.04,931407.62,1433624.18,4286584.03,-2852959.85,-66.56,45
