category,segment,product_name,stock_on_hand,sell_through_pct,days_of_supply,total_returns,returned_qty,avg_refund,top_return_reason,is_stockout,is_overstock,needs_reorder
Outdoor,Activewear,HanoiStreet RP-80,2617,4.84,590.3,619,1732,1936.65,wrong_size,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-79,2673,4.74,602.9,582,1577,1846.36,defective,YES,YES,NO
Streetwear,Everyday,SaigonFlex UC-69,2370,0.13,23700.0,441,1169,13862.76,wrong_size,YES,YES,NO
Streetwear,Performance,VietMotion UE-06,1939,0.97,3061.6,402,1139,14148.04,wrong_size,YES,YES,NO
Streetwear,Performance,MekongFit UE-18,1913,0.36,8198.6,401,1079,5132.3,defective,YES,YES,NO
Streetwear,Performance,HanoiStreet UE-36,1897,0.16,18970.0,397,1121,13889.87,defective,YES,YES,NO
Streetwear,Balanced,HanoiStreet UM-10,1960,1.11,2672.7,360,996,30220.72,wrong_size,NO,YES,NO
Streetwear,Performance,VietMotion UE-05,1489,0.67,4467.0,340,935,17259.53,late_delivery,YES,YES,NO
Streetwear,Performance,UrbanVN UE-14,1600,0.56,5333.3,313,880,16972.46,changed_mind,YES,YES,NO
Streetwear,Everyday,HanoiStreet UC-56,1394,0.36,8364.0,290,778,9877.31,late_delivery,NO,YES,NO
Outdoor,Activewear,HanoiStreet RP-48,1340,0.45,6700.0,289,800,4433.23,wrong_size,NO,YES,NO
Streetwear,Performance,UrbanVN UE-15,1256,0.24,12560.0,286,754,16271.04,changed_mind,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-22,1402,0.21,14020.0,283,823,11090.03,wrong_size,YES,YES,NO
Streetwear,Performance,UrbanVN UE-24,1334,0.74,4002.0,277,783,15561.81,changed_mind,NO,YES,NO
Outdoor,Activewear,HanoiStreet RP-21,1346,0.22,13460.0,275,763,10513.48,defective,NO,YES,NO
Outdoor,Activewear,HanoiStreet RP-47,1313,0.45,6565.0,274,778,4577.01,wrong_size,NO,YES,NO
Outdoor,Activewear,MekongFit RP-31,1390,4.27,672.6,266,708,2594.12,changed_mind,YES,YES,NO
Outdoor,Activewear,MekongFit RP-32,1373,4.32,664.4,262,729,2738.12,wrong_size,NO,YES,NO
Streetwear,Performance,HanoiStreet UE-16,1146,0.35,8595.0,252,686,17220.3,defective,NO,YES,NO
Outdoor,Activewear,HanoiStreet RP-82,1169,2.58,1131.3,248,695,2386.78,defective,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-49,1196,1.08,2760.0,247,716,5533.45,not_as_described,NO,YES,NO
Outdoor,Premium,VietMotion RS-08,1050,0.76,3937.5,245,648,10467.2,changed_mind,YES,YES,NO
GenZ,Trendy,VietMotion YY-05,1254,0.32,9405.0,245,649,2773.66,not_as_described,NO,YES,NO
Outdoor,Activewear,HanoiStreet RP-50,1221,1.05,2817.7,237,701,5659.92,defective,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-81,1133,2.66,1096.5,230,623,2296.11,changed_mind,NO,YES,NO
Outdoor,Premium,VietMotion RS-02,1178,2.0,1472.5,221,606,9351.93,defective,NO,YES,NO
Casual,All-weather,MekongFit MA-11,891,1.55,1909.3,218,581,8137.86,wrong_size,NO,YES,NO
Outdoor,Activewear,VietMotion RP-21,796,8.61,318.4,211,572,1763.21,wrong_size,NO,YES,NO
Outdoor,Activewear,VietMotion RP-16,824,3.51,824.0,211,564,4052.13,defective,YES,YES,NO
Streetwear,Everyday,HanoiStreet UC-44,1110,0.8,3700.0,209,553,4575.53,wrong_size,YES,YES,NO
Outdoor,Activewear,VietMotion RP-51,828,2.93,993.6,206,541,1603.32,wrong_size,YES,YES,NO
GenZ,Trendy,HanoiStreet YY-10,865,1.7,1730.0,204,603,3594.67,defective,YES,YES,NO
Streetwear,Everyday,VietMotion UC-36,979,0.1,29370.0,198,480,7976.26,not_as_described,YES,YES,NO
Outdoor,Activewear,HanoiStreet RP-65,780,4.41,650.0,192,500,3288.29,wrong_size,YES,YES,NO
Streetwear,Balanced,SaigonFlex UM-54,1115,9.42,288.4,192,532,29543.8,changed_mind,YES,YES,NO
Outdoor,Activewear,VietMotion RP-22,815,8.43,326.0,191,540,1849.08,changed_mind,YES,YES,NO
