region,order_source,total_orders,avg_processing_days,avg_shipping_days,avg_total_days,avg_shipping_fee,fast_delivery_count,fast_delivery_pct
Central,organic_search,41279,1.5,4.5,6.0,4.75,5169,12.52
East,email_campaign,28010,1.5,4.5,6.0,4.94,3512,12.54
West,referral,13420,1.5,4.5,6.0,5.33,1732,12.91
Central,paid_search,32258,1.5,4.5,6.0,4.74,4096,12.70
East,paid_search,51548,1.5,4.5,6.0,4.82,6417,12.45
East,referral,23404,1.5,4.5,6.0,4.77,3001,12.82
Central,direct,11587,1.5,4.5,6.0,4.87,1375,11.87
West,email_campaign,16066,1.5,4.5,6.0,5.34,2026,12.61
Central,social_media,29543,1.5,4.5,6.0,4.79,3640,12.32
East,direct,19018,1.5,4.5,6.0,4.9,2355,12.38
West,direct,10732,1.5,4.5,6.0,5.4,1344,12.52
West,paid_search,29230,1.5,4.5,6.0,5.37,3559,12.18
East,social_media,47290,1.5,4.5,6.0,4.79,5972,12.63
West,organic_search,37584,1.5,4.5,6.0,5.46,4653,12.38
Central,email_campaign,17815,1.5,4.5,6.0,4.84,2234,12.54
West,social_media,26841,1.5,4.5,6.0,5.37,3408,12.70
East,organic_search,65851,1.5,4.5,6.0,4.8,8219,12.48
Central,referral,14716,1.5,4.5,6.0,4.89,1798,12.22
