category,return_reason,payment_method,return_count,total_returned_qty,total_refund,avg_refund_per_return,return_rate_pct
Outdoor,wrong_size,credit_card,2515,6840,13383466.69,5321.46,1.25
GenZ,wrong_size,credit_card,357,1059,2129286.88,5964.39,0.96
Casual,wrong_size,credit_card,227,630,2557893.86,11268.25,0.96
Streetwear,wrong_size,credit_card,3709,10149,68495040.13,18467.25,0.95
Outdoor,defective,credit_card,1493,4164,8174654.34,5475.32,0.74
Outdoor,wrong_size,cod,1253,3360,6429050.27,5130.93,0.63
Outdoor,not_as_described,credit_card,1260,3469,6670427.05,5293.99,0.63
Outdoor,changed_mind,credit_card,1248,3493,6784745.24,5436.49,0.62
Casual,defective,credit_card,139,378,1543269.56,11102.66,0.59
GenZ,defective,credit_card,207,584,1046039.13,5053.33,0.56
Streetwear,defective,credit_card,2162,5886,40080741.76,18538.73,0.56
Casual,changed_mind,credit_card,124,350,1440407.55,11616.19,0.53
GenZ,wrong_size,cod,191,479,867037.06,4539.46,0.52
GenZ,not_as_described,credit_card,187,527,1040778.26,5565.66,0.50
Streetwear,changed_mind,credit_card,1933,5318,36364068.78,18812.24,0.50
Streetwear,not_as_described,credit_card,1900,5262,35684737.14,18781.44,0.49
Streetwear,wrong_size,cod,1846,4987,33791793.85,18305.41,0.47
GenZ,changed_mind,credit_card,168,445,809644.97,4819.32,0.45
Casual,not_as_described,credit_card,105,259,957537.99,9119.41,0.44
Casual,wrong_size,cod,97,267,1056125.58,10887.89,0.41
Outdoor,late_delivery,credit_card,710,1880,3807330.43,5362.44,0.35
Outdoor,wrong_size,paypal,674,1820,3579834.4,5311.33,0.34
Outdoor,defective,cod,691,1951,3533108.93,5113.04,0.34
Outdoor,changed_mind,cod,613,1774,3421757.91,5581.99,0.31
Outdoor,not_as_described,cod,609,1677,3420831.15,5617.13,0.30
GenZ,late_delivery,credit_card,104,270,490140.25,4712.89,0.28
GenZ,defective,cod,99,267,529349.06,5346.96,0.27
Casual,not_as_described,cod,63,154,670527.5,10643.29,0.27
Streetwear,late_delivery,credit_card,1052,2863,19330095.23,18374.62,0.27
Streetwear,defective,cod,1037,2888,19872379.16,19163.34,0.27
Casual,wrong_size,paypal,61,175,679969.34,11147.04,0.26
Streetwear,wrong_size,paypal,1021,2688,18400202.27,18021.75,0.26
GenZ,not_as_described,cod,94,241,464123.14,4937.48,0.25
Casual,late_delivery,credit_card,59,171,689464.94,11685.85,0.25
GenZ,wrong_size,paypal,88,272,521870.96,5930.35,0.24
Casual,defective,cod,56,147,552813.95,9871.68,0.24
Streetwear,changed_mind,cod,921,2541,17128400.7,18597.61,0.24
Outdoor,wrong_size,apple_pay,462,1267,2709841.18,5865.46,0.23
Casual,changed_mind,cod,54,157,652114.72,12076.2,0.23
Streetwear,not_as_described,cod,906,2559,17114489.53,18890.17,0.23
Outdoor,defective,paypal,417,1176,2275300.92,5456.36,0.21
GenZ,wrong_size,apple_pay,74,202,332598.17,4494.57,0.20
Casual,wrong_size,apple_pay,46,121,500217.55,10874.29,0.19
GenZ,changed_mind,cod,68,187,339829.44,4997.49,0.18
Streetwear,wrong_size,apple_pay,715,1955,13069389.79,18278.87,0.18
GenZ,defective,paypal,63,159,298032.7,4730.68,0.17
GenZ,late_delivery,cod,64,174,341668.79,5338.57,0.17
Outdoor,not_as_described,paypal,348,951,1856253.81,5334.06,0.17
Outdoor,late_delivery,cod,334,897,1750396.43,5240.71,0.17
Outdoor,changed_mind,paypal,343,958,1802633.88,5255.49,0.17
