order_source,device_type,payment_method,total_orders,avg_order_value,avg_items_per_order,avg_discount,avg_installments,installment_orders,installment_rate_pct,rank_by_device
email_campaign,tablet,paypal,1769,25451.48,1.11,1315.7,3.86,1241,70.15,1
direct,tablet,apple_pay,766,25205.87,1.1,1173.27,3.9,544,71.02,2
direct,mobile,apple_pay,2400,25180.17,1.1,1105.11,3.94,1709,71.21,1
direct,mobile,paypal,3546,25026.0,1.1,1131.37,3.9,2479,69.91,2
organic_search,tablet,cod,4125,24988.9,1.11,1128.54,1.0,0,0.00,3
direct,tablet,cod,1152,24967.28,1.09,1182.6,1.0,0,0.00,4
direct,tablet,bank_transfer,392,24920.36,1.1,1178.17,3.79,271,69.13,5
direct,desktop,bank_transfer,1045,24917.09,1.1,1108.49,3.86,717,68.61,1
referral,desktop,paypal,3882,24858.36,1.1,1204.09,3.98,2735,70.45,2
paid_search,tablet,bank_transfer,1077,24857.03,1.11,1216.29,3.66,740,68.71,6
referral,tablet,apple_pay,958,24827.75,1.1,1174.5,3.78,667,69.62,7
paid_search,mobile,bank_transfer,3213,24791.8,1.1,1188.06,3.85,2198,68.41,3
paid_search,tablet,paypal,3134,24668.37,1.11,1264.07,3.85,2183,69.66,8
referral,mobile,paypal,4336,24655.29,1.1,1227.28,3.81,2979,68.70,4
paid_search,desktop,cod,8374,24655.09,1.11,1182.02,1.0,0,0.00,3
email_campaign,desktop,bank_transfer,1557,24638.17,1.12,1193.43,3.89,1099,70.58,4
paid_search,mobile,apple_pay,6327,24590.8,1.1,1179.61,3.88,4442,70.21,5
paid_search,desktop,bank_transfer,2868,24586.8,1.11,1107.63,3.95,1986,69.25,5
email_campaign,desktop,apple_pay,3064,24542.96,1.1,1207.73,3.84,2098,68.47,6
email_campaign,tablet,credit_card,6372,24513.28,1.11,1191.33,3.92,4484,70.37,9
email_campaign,tablet,cod,1768,24488.59,1.1,1119.98,1.0,0,0.00,10
paid_search,desktop,paypal,8686,24487.26,1.1,1172.98,3.86,6043,69.57,7
social_media,desktop,cod,7892,24486.17,1.11,1192.78,1.0,0,0.00,8
referral,mobile,cod,4278,24473.58,1.1,1115.84,1.0,0,0.00,6
social_media,tablet,apple_pay,1924,24463.88,1.12,1104.17,3.91,1351,70.22,11
paid_search,tablet,credit_card,11651,24457.83,1.1,1174.28,3.86,8143,69.89,12
referral,desktop,cod,3886,24451.75,1.11,1144.21,1.0,0,0.00,9
email_campaign,mobile,paypal,5137,24448.62,1.1,1157.72,3.87,3574,69.57,7
direct,mobile,cod,3507,24411.3,1.1,1153.81,1.0,0,0.00,8
social_media,mobile,paypal,8712,24385.36,1.11,1173.61,3.89,6125,70.31,9
social_media,tablet,paypal,2852,24363.5,1.1,1162.49,3.94,1983,69.53,13
referral,mobile,credit_card,16141,24338.87,1.1,1160.51,3.87,11217,69.49,10
social_media,desktop,paypal,7830,24337.39,1.1,1155.02,3.86,5421,69.23,10
paid_search,tablet,apple_pay,2116,24316.73,1.1,1222.99,3.98,1517,71.69,14
referral,tablet,credit_card,5417,24308.26,1.1,1194.9,3.92,3821,70.54,15
direct,mobile,credit_card,12891,24301.96,1.1,1193.16,3.86,9013,69.92,11
organic_search,tablet,bank_transfer,1356,24295.73,1.1,1146.8,3.74,924,68.14,16
organic_search,desktop,paypal,11011,24285.14,1.1,1164.93,3.84,7633,69.32,11
email_campaign,mobile,credit_card,19247,24276.27,1.11,1154.54,3.88,13502,70.15,12
direct,tablet,credit_card,4248,24273.76,1.11,1230.84,3.86,2992,70.43,17
organic_search,mobile,cod,12067,24271.38,1.1,1134.4,1.0,0,0.00,13
social_media,desktop,credit_card,28491,24269.69,1.1,1145.11,3.89,19946,70.01,12
social_media,tablet,credit_card,10540,24263.73,1.11,1130.96,3.88,7434,70.53,18
paid_search,mobile,paypal,9477,24246.45,1.11,1190.01,3.9,6623,69.88,14
paid_search,mobile,credit_card,35270,24244.44,1.1,1165.59,3.89,24654,69.90,15
email_campaign,desktop,cod,4612,24234.05,1.11,1202.94,1.0,0,0.00,13
referral,tablet,paypal,1405,24231.44,1.12,1170.16,3.72,941,66.98,19
social_media,mobile,credit_card,32261,24224.95,1.1,1122.35,3.9,22495,69.73,16
email_campaign,mobile,cod,5235,24216.79,1.11,1140.55,1.0,0,0.00,17
paid_search,mobile,cod,9585,24200.68,1.11,1147.64,1.0,0,0.00,18
